task_id,employee_id,skill_match,experience_level,current_workload,performance_score,difficulty_level,deadline_hours,priority,completion_time
0,0,0,4,29,0.59,1,56,1,6.48
0,1,0,5,21,0.58,1,56,1,4.76
0,2,1,3,23,0.53,1,56,1,7.19
0,3,0,5,36,0.57,1,56,1,6.62
0,4,0,3,22,0.53,1,56,1,6.81
0,5,0,4,30,0.61,1,56,1,6.17
0,6,0,4,21,0.81,1,56,1,5.38
0,7,0,2,22,0.5,1,56,1,8.27
0,8,0,1,27,0.81,1,56,1,8.74
0,9,0,2,28,0.99,1,56,1,6.17
0,10,0,3,3,0.93,1,56,1,2.99
0,11,0,5,9,0.53,1,56,1,3.87
0,12,0,4,25,0.98,1,56,1,4.64
0,13,0,2,9,0.51,1,56,1,7.04
0,14,0,2,20,0.62,1,56,1,6.62
0,15,0,4,7,0.8,1,56,1,2.78
0,16,1,3,14,0.7,1,56,1,4.97
0,17,0,2,4,0.66,1,56,1,4.62
0,18,0,2,4,0.59,1,56,1,4.81
0,19,1,2,26,0.72,1,56,1,7.68
0,20,1,2,36,0.8,1,56,1,8.08
0,21,0,4,21,0.69,1,56,1,5.79
0,22,0,2,24,0.68,1,56,1,7.67
0,23,0,4,29,0.9,1,56,1,5.5
0,24,0,1,25,0.99,1,56,1,8.69
0,25,0,1,8,0.5,1,56,1,10.64
0,26,0,3,17,0.86,1,56,1,4.17
0,27,0,3,33,0.8,1,56,1,6.4
0,28,0,2,39,0.83,1,56,1,8.15
0,29,1,4,7,0.93,1,56,1,3.38
0,30,0,4,34,0.55,1,56,1,6.94
0,31,0,5,35,0.8,1,56,1,6.34
0,32,0,3,35,0.74,1,56,1,7.34
0,33,0,5,14,0.92,1,56,1,3.83
0,34,0,5,26,0.62,1,56,1,5.57
0,35,0,3,9,0.86,1,56,1,4.18
0,36,0,2,13,0.6,1,56,1,5.98
0,37,0,1,32,0.85,1,56,1,9.85
0,38,0,5,23,0.8,1,56,1,4.64
0,39,0,3,29,0.61,1,56,1,6.96
0,40,0,3,22,0.94,1,56,1,4.58
0,41,0,2,6,0.73,1,56,1,4.87
0,42,0,4,20,0.95,1,56,1,5.1
0,43,0,3,28,0.68,1,56,1,6.75
0,44,1,1,1,0.61,1,56,1,8.17
0,45,0,1,13,0.93,1,56,1,6.7
0,46,1,3,9,0.74,1,56,1,4.19
